EVENT_NAME,EVENT_YEAR,ED_ABBREVIATION,ED_NAME,AGE_GROUP,PARTICIPATION,REGISTERED_VOTERS,EVENT_DATE_TEXT
General Election 2017,2017,KLA,Kelowna-Lake Country,35-44,"2,981","6,737",05/09/2017
General Election 2017,2017,KLA,Kelowna-Lake Country,45-54,"4,406","8,459",05/09/2017
General Election 2017,2017,KLA,Kelowna-Lake Country,55-64,"6,040","9,552",05/09/2017
General Election 2017,2017,KLA,Kelowna-Lake Country,65-74,"4,903","6,666",05/09/2017
General Election 2017,2017,KLA,Kelowna-Lake Country,75+,"3,242","4,740",05/09/2017
General Election 2017,2017,KLM,Kelowna-Mission,18-24,"1,455","3,265",05/09/2017
General Election 2017,2017,KLM,Kelowna-Mission,25-34,"2,389","6,891",05/09/2017
General Election 2017,2017,KLM,Kelowna-Mission,35-44,"3,011","6,295",05/09/2017
General Election 2017,2017,KLM,Kelowna-Mission,45-54,"4,193","7,601",05/09/2017
General Election 2017,2017,KLM,Kelowna-Mission,55-64,"5,695","8,747",05/09/2017
General Election 2017,2017,KLM,Kelowna-Mission,65-74,"5,454","7,078",05/09/2017
General Election 2017,2017,KLM,Kelowna-Mission,75+,"4,848","7,021",05/09/2017
General Election 2017,2017,KLW,Kelowna West,18-24,"1,301","2,873",05/09/2017
General Election 2017,2017,KLW,Kelowna West,25-34,"2,799","7,783",05/09/2017
General Election 2017,2017,KLW,Kelowna West,35-44,"3,027","6,680",05/09/2017
General Election 2017,2017,KLW,Kelowna West,45-54,"3,993","7,666",05/09/2017
General Election 2017,2017,KLW,Kelowna West,55-64,"5,935","9,448",05/09/2017
General Election 2017,2017,KLW,Kelowna West,65-74,"5,542","7,577",05/09/2017
General Election 2017,2017,KLW,Kelowna West,75+,"4,115","6,135",05/09/2017
General Election 2017,2017,KOE,Kootenay East,18-24,822,"1,816",05/09/2017
General Election 2017,2017,KOE,Kootenay East,25-34,"1,879","4,811",05/09/2017
General Election 2017,2017,KOE,Kootenay East,35-44,"2,381","4,845",05/09/2017
General Election 2017,2017,KOE,Kootenay East,45-54,"2,832","5,401",05/09/2017
General Election 2017,2017,KOE,Kootenay East,55-64,"4,056","6,446",05/09/2017
General Election 2017,2017,KOE,Kootenay East,65-74,"3,329","4,596",05/09/2017
General Election 2017,2017,KOE,Kootenay East,75+,"1,889","2,938",05/09/2017
General Election 2017,2017,KOW,Kootenay West,18-24,754,"1,551",05/09/2017
General Election 2017,2017,KOW,Kootenay West,25-34,"1,726","4,015",05/09/2017
General Election 2017,2017,KOW,Kootenay West,35-44,"2,315","4,481",05/09/2017
General Election 2017,2017,KOW,Kootenay West,45-54,"2,892","5,144",05/09/2017
General Election 2017,2017,KOW,Kootenay West,55-64,"4,948","7,195",05/09/2017
General Election 2017,2017,KOW,Kootenay West,65-74,"3,910","5,223",05/09/2017
General Election 2017,2017,KOW,Kootenay West,75+,"2,491","3,709",05/09/2017
General Election 2017,2017,LJF,Langford-Juan de Fuca,18-24,"1,486","2,704",05/09/2017
General Election 2017,2017,LJF,Langford-Juan de Fuca,25-34,"3,200","6,856",05/09/2017
General Election 2017,2017,LJF,Langford-Juan de Fuca,35-44,"4,293","7,593",05/09/2017
General Election 2017,2017,LJF,Langford-Juan de Fuca,45-54,"4,899","7,941",05/09/2017
General Election 2017,2017,LJF,Langford-Juan de Fuca,55-64,"5,470","7,742",05/09/2017
General Election 2017,2017,LJF,Langford-Juan de Fuca,65-74,"3,906","5,044",05/09/2017
General Election 2017,2017,LJF,Langford-Juan de Fuca,75+,"1,921","2,652",05/09/2017
General Election 2017,2017,LLY,Langley,18-24,"1,459","2,793",05/09/2017
General Election 2017,2017,LLY,Langley,25-34,"3,252","7,032",05/09/2017
General Election 2017,2017,LLY,Langley,35-44,"3,859","7,098",05/09/2017
General Election 2017,2017,LLY,Langley,45-54,"4,408","7,537",05/09/2017
General Election 2017,2017,LLY,Langley,55-64,"4,731","7,238",05/09/2017
General Election 2017,2017,LLY,Langley,65-74,"3,942","5,368",05/09/2017
General Election 2017,2017,LLY,Langley,75+,"2,702","3,932",05/09/2017
General Election 2017,2017,LYE,Langley East,18-24,"2,188","3,799",05/09/2017
General Election 2017,2017,LYE,Langley East,25-34,"3,601","7,234",05/09/2017
General Election 2017,2017,LYE,Langley East,35-44,"4,552","7,610",05/09/2017
General Election 2017,2017,LYE,Langley East,45-54,"5,733","9,089",05/09/2017
General Election 2017,2017,LYE,Langley East,55-64,"6,372","8,897",05/09/2017
General Election 2017,2017,LYE,Langley East,65-74,"5,021","6,465",05/09/2017
General Election 2017,2017,LYE,Langley East,75+,"3,340","4,636",05/09/2017
General Election 2017,2017,MAM,Maple Ridge-Mission,18-24,"1,885","3,326",05/09/2017
General Election 2017,2017,MAM,Maple Ridge-Mission,25-34,"3,119","6,655",05/09/2017
General Election 2017,2017,MAM,Maple Ridge-Mission,35-44,"4,124","7,275",05/09/2017
General Election 2017,2017,MAM,Maple Ridge-Mission,45-54,"5,274","8,828",05/09/2017
General Election 2017,2017,MAM,Maple Ridge-Mission,55-64,"5,589","8,101",05/09/2017
General Election 2017,2017,MAM,Maple Ridge-Mission,65-74,"3,803","4,955",05/09/2017
General Election 2017,2017,MAM,Maple Ridge-Mission,75+,"2,534","3,538",05/09/2017
General Election 2017,2017,MAP,Maple Ridge-Pitt Meadows,18-24,"1,851","3,113",05/09/2017
General Election 2017,2017,MAP,Maple Ridge-Pitt Meadows,25-34,"3,273","6,639",05/09/2017
General Election 2017,2017,MAP,Maple Ridge-Pitt Meadows,35-44,"4,206","6,881",05/09/2017
General Election 2017,2017,MAP,Maple Ridge-Pitt Meadows,45-54,"5,408","8,478",05/09/2017
General Election 2017,2017,MAP,Maple Ridge-Pitt Meadows,55-64,"6,030","8,414",05/09/2017
General Election 2017,2017,MAP,Maple Ridge-Pitt Meadows,65-74,"3,880","5,003",05/09/2017
General Election 2017,2017,MAP,Maple Ridge-Pitt Meadows,75+,"2,411","3,423",05/09/2017
General Election 2017,2017,MPR,Mid Island-Pacific Rim,18-24,"1,012","1,922",05/09/2017
General Election 2017,2017,MPR,Mid Island-Pacific Rim,25-34,"2,297","5,055",05/09/2017
General Election 2017,2017,MPR,Mid Island-Pacific Rim,35-44,"3,017","5,694",05/09/2017
General Election 2017,2017,MPR,Mid Island-Pacific Rim,45-54,"3,894","6,683",05/09/2017
General Election 2017,2017,MPR,Mid Island-Pacific Rim,55-64,"6,472","9,387",05/09/2017
General Election 2017,2017,MPR,Mid Island-Pacific Rim,65-74,"5,816","7,516",05/09/2017
General Election 2017,2017,MPR,Mid Island-Pacific Rim,75+,"3,209","4,420",05/09/2017
General Election 2017,2017,NAN,Nanaimo,18-24,"1,573","3,032",05/09/2017
General Election 2017,2017,NAN,Nanaimo,25-34,"3,208","7,106",05/09/2017
General Election 2017,2017,NAN,Nanaimo,35-44,"3,368","6,182",05/09/2017
General Election 2017,2017,NAN,Nanaimo,45-54,"4,123","6,933",05/09/2017
General Election 2017,2017,NAN,Nanaimo,55-64,"6,180","8,901",05/09/2017
General Election 2017,2017,NAN,Nanaimo,65-74,"5,514","7,044",05/09/2017
General Election 2017,2017,NAN,Nanaimo,75+,"3,559","4,986",05/09/2017
General Election 2017,2017,NCW,Nanaimo-North Cowichan,18-24,"1,248","2,322",05/09/2017
General Election 2017,2017,NCW,Nanaimo-North Cowichan,25-34,"2,434","5,332",05/09/2017
General Election 2017,2017,NCW,Nanaimo-North Cowichan,35-44,"2,981","5,346",05/09/2017
General Election 2017,2017,NCW,Nanaimo-North Cowichan,45-54,"4,049","6,858",05/09/2017
General Election 2017,2017,NCW,Nanaimo-North Cowichan,55-64,"6,415","9,206",05/09/2017
General Election 2017,2017,NCW,Nanaimo-North Cowichan,65-74,"6,037","7,781",05/09/2017
General Election 2017,2017,NCW,Nanaimo-North Cowichan,75+,"3,215","4,548",05/09/2017
General Election 2017,2017,NEC,Nechako Lakes,18-24,522,"1,024",05/09/2017
General Election 2017,2017,NEC,Nechako Lakes,25-34,961,"2,377",05/09/2017
General Election 2017,2017,NEC,Nechako Lakes,35-44,"1,279","2,508",05/09/2017
General Election 2017,2017,NEC,Nechako Lakes,45-54,"1,799","3,151",05/09/2017
General Election 2017,2017,NEC,Nechako Lakes,55-64,"2,536","3,802",05/09/2017
General Election 2017,2017,NEC,Nechako Lakes,65-74,"1,767","2,341",05/09/2017
General Election 2017,2017,NEC,Nechako Lakes,75+,961,"1,433",05/09/2017
General Election 2017,2017,NEL,Nelson-Creston,18-24,844,"1,438",05/09/2017
General Election 2017,2017,NEL,Nelson-Creston,25-34,"1,668","3,526",05/09/2017
General Election 2017,2017,NEL,Nelson-Creston,35-44,"2,459","4,140",05/09/2017
General Election 2017,2017,NEL,Nelson-Creston,45-54,"2,723","4,500",05/09/2017
General Election 2017,2017,NEL,Nelson-Creston,55-64,"4,210","6,112",05/09/2017
General Election 2017,2017,NEL,Nelson-Creston,65-74,"4,083","5,293",05/09/2017
General Election 2017,2017,NEL,Nelson-Creston,75+,"2,295","3,467",05/09/2017
General Election 2017,2017,NEW,New Westminster,18-24,"1,678","2,672",05/09/2017
General Election 2017,2017,NEW,New Westminster,25-34,"4,421","8,160",05/09/2017
General Election 2017,2017,NEW,New Westminster,35-44,"4,199","7,132",05/09/2017
General Election 2017,2017,NEW,New Westminster,45-54,"5,300","8,314",05/09/2017
General Election 2017,2017,NEW,New Westminster,55-64,"5,652","8,182",05/09/2017
General Election 2017,2017,NEW,New Westminster,65-74,"3,997","5,409",05/09/2017
General Election 2017,2017,NEW,New Westminster,75+,"2,544","3,821",05/09/2017
General Election 2017,2017,NOC,North Coast,18-24,545,958,05/09/2017
